id ;pg ;wilayah;lokasi
219;PG1;AW05;081AD1D
220;PG1;AW05;081AD2A
221;PG1;AW05;081AD2B
222;PG1;AW05;081AD2C
223;PG1;AW05;081AD2D
224;PG1;AW05;081AD3A
225;PG1;AW05;081AD3B
226;PG1;AW05;081AD3C
227;PG1;AW05;081AD3D
228;PG1;AW05;081AD4A
229;PG1;AW05;081AD4B
230;PG1;AW05;081AD4C
231;PG1;AW05;081AD4D
232;PG1;AW05;081AE1A
233;PG1;AW05;081AE1B
234;PG1;AW05;081AE1C
235;PG1;AW05;081AE1D
236;PG1;AW05;081AE2A
237;PG1;AW05;081AE2B
238;PG1;AW05;081AE2C
239;PG1;AW05;081AE2D
240;PG1;AW05;081AE3A
241;PG1;AW05;081AE3B
242;PG1;AW05;081AE3C
243;PG1;AW05;081AE3D
244;PG1;AW05;081AE4A
245;PG1;AW05;081AE4B
246;PG1;AW05;081AE4C
247;PG1;AW05;081AE4D
248;PG1;AW05;081AE5A
249;PG1;AW05;081AE5B
250;PG1;AW05;081AE5C
251;PG1;AW05;081AE5D
252;PG1;AW05;081AE6A
253;PG1;AW05;081AE6B
254;PG1;AW05;081AE6C
255;PG1;AW05;081AE6D
256;PG1;AW05;081AE7A
257;PG1;AW05;081AE7U
258;PG1;AW05;081AE7V
259;PG1;AW05;081AE7W
260;PG1;AW05;081AE7X
261;PG1;AW05;081AE7Y
262;PG1;AW05;081AE7Z
263;PG1;AW05;081AE8A
264;PG1;AW05;081AE8E
265;PG1;AW05;081AE8F
266;PG1;AW05;081AE8G
267;PG1;AW05;081AE8H
268;PG1;AW05;081AE8J
269;PG1;AW05;081AE8K
270;PG1;AW05;081AE8L
271;PG1;AW05;081AE8M
272;PG1;AW05;081AE8N
273;PG1;AW05;081AE8P
274;PG1;AW05;081AE8Q
275;PG1;AW05;081AE8R
276;PG1;AW05;081AE8S
277;PG1;AW05;081AE8T
278;PG1;AW05;081AE8U
279;PG1;AW05;081AE8V
280;PG1;AW05;081AE8W
281;PG1;AW05;081AE8X
282;PG1;AW05;081AE8Y
283;PG1;AW05;081AE8Z
284;PG1;AW05;081AE9A
285;PG1;AW05;081AE9B
286;PG1;AW05;081AE9C
287;PG1;AW05;081AE9D
288;PG1;AW05;081AE9E
289;PG1;AW05;081AE9F
290;PG1;AW05;081AE9G
291;PG1;AW05;081AE9H
292;PG1;AW05;081AE9J
293;PG1;AW05;081AE9K
294;PG1;AW05;081AE9L
295;PG1;AW05;081AE9M
296;PG1;AW05;081AE9N
297;PG1;AW05;081AE9P
298;PG1;AW05;081AE9Q
299;PG1;AW05;081AE9R
300;PG1;AW05;081AE9S
301;PG1;AW05;081AE9T
302;PG1;AW05;081AE9U
303;PG1;AW05;081AE9V
304;PG1;AW05;081AE9W
305;PG1;AW05;081AE9X
306;PG1;AW05;081AE9Y
307;PG1;AW05;081AE9Z
308;PG1;AW05;081AF1A
309;PG1;AW05;081AF1B
